question_text,user_id,response
2. Which Mattresses and More location do you shop at?,013bd7a1-a2ba-43c1-b980-591d368175da,Fruitville
3. How old are you?,013bd7a1-a2ba-43c1-b980-591d368175da,45-55
1. How likely are you to recommend Mattresses and More to a friend?,013bd7a1-a2ba-43c1-b980-591d368175da,9
5. What is your annual household income?,013bd7a1-a2ba-43c1-b980-591d368175da,"80,000 - 100,000"
4. What is your gender?,013bd7a1-a2ba-43c1-b980-591d368175da,female
5. What is your annual household income?,0314edb3-92cb-4951-b90a-0cbb1b6f7ca5,"80,000 - 100,000"
4. What is your gender?,0314edb3-92cb-4951-b90a-0cbb1b6f7ca5,female
2. Which Mattresses and More location do you shop at?,0314edb3-92cb-4951-b90a-0cbb1b6f7ca5,Fruitville
3. How old are you?,0314edb3-92cb-4951-b90a-0cbb1b6f7ca5,35-45
1. How likely are you to recommend Mattresses and More to a friend?,0314edb3-92cb-4951-b90a-0cbb1b6f7ca5,8
1. How likely are you to recommend Mattresses and More to a friend?,04243dc3-98e6-46ab-8a35-9f722a376e0b,9
4. What is your gender?,048a8fc4-8cac-4370-8876-e3216c79a878,male
2. Which Mattresses and More location do you shop at?,048a8fc4-8cac-4370-8876-e3216c79a878,Cliffmont
5. What is your annual household income?,048a8fc4-8cac-4370-8876-e3216c79a878,"40,000 - 60,000"
1. How likely are you to recommend Mattresses and More to a friend?,048a8fc4-8cac-4370-8876-e3216c79a878,7
3. How old are you?,048a8fc4-8cac-4370-8876-e3216c79a878,55-65
1. How likely are you to recommend Mattresses and More to a friend?,052377a2-fd27-49f8-a259-1aa139db48f3,7
2. Which Mattresses and More location do you shop at?,052377a2-fd27-49f8-a259-1aa139db48f3,Parkdale
2. Which Mattresses and More location do you shop at?,052eaa0c-2cee-45e9-a844-2921c1776879,Fruitville
4. What is your gender?,052eaa0c-2cee-45e9-a844-2921c1776879,male
3. How old are you?,052eaa0c-2cee-45e9-a844-2921c1776879,55-65
1. How likely are you to recommend Mattresses and More to a friend?,052eaa0c-2cee-45e9-a844-2921c1776879,7
2. Which Mattresses and More location do you shop at?,06090c77-6baf-4f1f-a162-de09508d58a6,Farmingburg
1. How likely are you to recommend Mattresses and More to a friend?,06090c77-6baf-4f1f-a162-de09508d58a6,9
3. How old are you?,06090c77-6baf-4f1f-a162-de09508d58a6,25-35
4. What is your gender?,06090c77-6baf-4f1f-a162-de09508d58a6,male
5. What is your annual household income?,06090c77-6baf-4f1f-a162-de09508d58a6,"20,000 - 40,000"
2. Which Mattresses and More location do you shop at?,06b07752-6e10-4217-84ae-451fba5b2b48,Farmingburg
1. How likely are you to recommend Mattresses and More to a friend?,06b07752-6e10-4217-84ae-451fba5b2b48,8
1. How likely are you to recommend Mattresses and More to a friend?,074973c3-e8d0-4fa4-9c46-63e3e09f7751,9
2. Which Mattresses and More location do you shop at?,074973c3-e8d0-4fa4-9c46-63e3e09f7751,Fruitville
1. How likely are you to recommend Mattresses and More to a friend?,0809a270-2503-4594-abba-8467982ac3ee,9
5. What is your annual household income?,0809a270-2503-4594-abba-8467982ac3ee,"Less than 20,000"
4. What is your gender?,0809a270-2503-4594-abba-8467982ac3ee,female
3. How old are you?,0809a270-2503-4594-abba-8467982ac3ee,45-55
2. Which Mattresses and More location do you shop at?,0809a270-2503-4594-abba-8467982ac3ee,Farmingburg
3. How old are you?,080a657b-dea7-430c-8177-d86a2dba4ef0,45-55
1. How likely are you to recommend Mattresses and More to a friend?,080a657b-dea7-430c-8177-d86a2dba4ef0,7
5. What is your annual household income?,080a657b-dea7-430c-8177-d86a2dba4ef0,"80,000 - 100,000"
4. What is your gender?,080a657b-dea7-430c-8177-d86a2dba4ef0,female
2. Which Mattresses and More location do you shop at?,080a657b-dea7-430c-8177-d86a2dba4ef0,Farmingburg
1. How likely are you to recommend Mattresses and More to a friend?,08676331-c9a8-47fe-864b-91258e1fbd34,7
2. Which Mattresses and More location do you shop at?,08676331-c9a8-47fe-864b-91258e1fbd34,Cliffmont
3. How old are you?,093c4176-2171-40b5-8701-f16e8fd9c4af,45-55
2. Which Mattresses and More location do you shop at?,093c4176-2171-40b5-8701-f16e8fd9c4af,Fruitville
4. What is your gender?,093c4176-2171-40b5-8701-f16e8fd9c4af,female
5. What is your annual household income?,093c4176-2171-40b5-8701-f16e8fd9c4af,"20,000 - 40,000"
1. How likely are you to recommend Mattresses and More to a friend?,093c4176-2171-40b5-8701-f16e8fd9c4af,9
3. How old are you?,0990b33f-6f4e-4c01-9cb2-a36766862453,35-45
2. Which Mattresses and More location do you shop at?,0990b33f-6f4e-4c01-9cb2-a36766862453,Fruitville
4. What is your gender?,0990b33f-6f4e-4c01-9cb2-a36766862453,female
5. What is your annual household income?,0990b33f-6f4e-4c01-9cb2-a36766862453,"Less than 20,000"
1. How likely are you to recommend Mattresses and More to a friend?,0990b33f-6f4e-4c01-9cb2-a36766862453,9
2. Which Mattresses and More location do you shop at?,09f417e5-b143-4746-8352-4df465c82012,Farmingburg
5. What is your annual household income?,09f417e5-b143-4746-8352-4df465c82012,"40,000 - 60,000"
4. What is your gender?,09f417e5-b143-4746-8352-4df465c82012,male
1. How likely are you to recommend Mattresses and More to a friend?,09f417e5-b143-4746-8352-4df465c82012,7
3. How old are you?,09f417e5-b143-4746-8352-4df465c82012,25-35
4. What is your gender?,09fb5edd-1d15-4216-8d12-d5876d8ddf54,male
3. How old are you?,09fb5edd-1d15-4216-8d12-d5876d8ddf54,65+
1. How likely are you to recommend Mattresses and More to a friend?,09fb5edd-1d15-4216-8d12-d5876d8ddf54,8
2. Which Mattresses and More location do you shop at?,09fb5edd-1d15-4216-8d12-d5876d8ddf54,Fruitville
2. Which Mattresses and More location do you shop at?,0c2232b2-a52f-4118-92e9-ba02d079aaba,Farmingburg
5. What is your annual household income?,0c2232b2-a52f-4118-92e9-ba02d079aaba,"20,000 - 40,000"
4. What is your gender?,0c2232b2-a52f-4118-92e9-ba02d079aaba,female
3. How old are you?,0c2232b2-a52f-4118-92e9-ba02d079aaba,25-35
1. How likely are you to recommend Mattresses and More to a friend?,0c2232b2-a52f-4118-92e9-ba02d079aaba,6
3. How old are you?,0cd0c212-05d4-46ae-9b1a-024379ec184a,55-65
2. Which Mattresses and More location do you shop at?,0cd0c212-05d4-46ae-9b1a-024379ec184a,Cliffmont
4. What is your gender?,0cd0c212-05d4-46ae-9b1a-024379ec184a,male
1. How likely are you to recommend Mattresses and More to a friend?,0cd0c212-05d4-46ae-9b1a-024379ec184a,7
5. What is your annual household income?,0cd0c212-05d4-46ae-9b1a-024379ec184a,"40,000 - 60,000"
1. How likely are you to recommend Mattresses and More to a friend?,0d198824-8456-48de-949d-737932322d79,9
4. What is your gender?,0d198824-8456-48de-949d-737932322d79,female
3. How old are you?,0d198824-8456-48de-949d-737932322d79,35-45
5. What is your annual household income?,0d198824-8456-48de-949d-737932322d79,"80,000 - 100,000"
2. Which Mattresses and More location do you shop at?,0d198824-8456-48de-949d-737932322d79,Parkdale
1. How likely are you to recommend Mattresses and More to a friend?,0d3166ea-679f-4475-9508-23802d3056be,10
2. Which Mattresses and More location do you shop at?,0d3166ea-679f-4475-9508-23802d3056be,Farmingburg
4. What is your gender?,0e39e047-1ead-49b5-9886-b74979c00eb4,male
3. How old are you?,0e39e047-1ead-49b5-9886-b74979c00eb4,25-35
2. Which Mattresses and More location do you shop at?,0e39e047-1ead-49b5-9886-b74979c00eb4,Farmingburg
1. How likely are you to recommend Mattresses and More to a friend?,0e39e047-1ead-49b5-9886-b74979c00eb4,8
3. How old are you?,0f43c9e7-a8dd-4c62-b1bd-71c79446daee,35-45
5. What is your annual household income?,0f43c9e7-a8dd-4c62-b1bd-71c79446daee,"40,000 - 60,000"
1. How likely are you to recommend Mattresses and More to a friend?,0f43c9e7-a8dd-4c62-b1bd-71c79446daee,8
4. What is your gender?,0f43c9e7-a8dd-4c62-b1bd-71c79446daee,female
2. Which Mattresses and More location do you shop at?,0f43c9e7-a8dd-4c62-b1bd-71c79446daee,Cliffmont
5. What is your annual household income?,0f934702-3afc-4e42-8108-4765267a86ab,"40,000 - 60,000"
1. How likely are you to recommend Mattresses and More to a friend?,0f934702-3afc-4e42-8108-4765267a86ab,9
3. How old are you?,0f934702-3afc-4e42-8108-4765267a86ab,55-65
4. What is your gender?,0f934702-3afc-4e42-8108-4765267a86ab,male
2. Which Mattresses and More location do you shop at?,0f934702-3afc-4e42-8108-4765267a86ab,Cliffmont
5. What is your annual household income?,1101fcbf-c15f-48fb-b6bb-9762e19e743b,"40,000 - 60,000"
3. How old are you?,1101fcbf-c15f-48fb-b6bb-9762e19e743b,45-55
1. How likely are you to recommend Mattresses and More to a friend?,1101fcbf-c15f-48fb-b6bb-9762e19e743b,9
4. What is your gender?,1101fcbf-c15f-48fb-b6bb-9762e19e743b,female
2. Which Mattresses and More location do you shop at?,1101fcbf-c15f-48fb-b6bb-9762e19e743b,Fruitville
2. Which Mattresses and More location do you shop at?,1109e468-d008-48a6-ad42-d789d063869f,Farmingburg
1. How likely are you to recommend Mattresses and More to a friend?,1109e468-d008-48a6-ad42-d789d063869f,7
4. What is your gender?,1109e468-d008-48a6-ad42-d789d063869f,male
3. How old are you?,1109e468-d008-48a6-ad42-d789d063869f,45-55
5. What is your annual household income?,1109e468-d008-48a6-ad42-d789d063869f,"80,000 - 100,000"
5. What is your annual household income?,1116c741-5661-4ae7-887e-2167cb13e777,"Less than 20,000"
1. How likely are you to recommend Mattresses and More to a friend?,1116c741-5661-4ae7-887e-2167cb13e777,8
4. What is your gender?,1116c741-5661-4ae7-887e-2167cb13e777,female
3. How old are you?,1116c741-5661-4ae7-887e-2167cb13e777,55-65
2. Which Mattresses and More location do you shop at?,1116c741-5661-4ae7-887e-2167cb13e777,Fruitville
2. Which Mattresses and More location do you shop at?,115f401e-c748-42da-8154-93b36bf32edd,Fruitville
1. How likely are you to recommend Mattresses and More to a friend?,115f401e-c748-42da-8154-93b36bf32edd,8
1. How likely are you to recommend Mattresses and More to a friend?,116ea231-41f5-48b5-bc95-098d40fa0743,7
2. Which Mattresses and More location do you shop at?,116ea231-41f5-48b5-bc95-098d40fa0743,Fruitville
3. How old are you?,12a3b1bf-9337-4629-b1ad-537a68136a51,35-45
2. Which Mattresses and More location do you shop at?,12a3b1bf-9337-4629-b1ad-537a68136a51,Fruitville
1. How likely are you to recommend Mattresses and More to a friend?,12a3b1bf-9337-4629-b1ad-537a68136a51,8
5. What is your annual household income?,12a3b1bf-9337-4629-b1ad-537a68136a51,"80,000 - 100,000"
4. What is your gender?,12a3b1bf-9337-4629-b1ad-537a68136a51,female
3. How old are you?,12bebc0b-fae8-4b49-bec5-00c3dfc3abe8,45-55
5. What is your annual household income?,12bebc0b-fae8-4b49-bec5-00c3dfc3abe8,"Less than 20,000"
1. How likely are you to recommend Mattresses and More to a friend?,12bebc0b-fae8-4b49-bec5-00c3dfc3abe8,9
4. What is your gender?,12bebc0b-fae8-4b49-bec5-00c3dfc3abe8,male
2. Which Mattresses and More location do you shop at?,12bebc0b-fae8-4b49-bec5-00c3dfc3abe8,Fruitville
1. How likely are you to recommend Mattresses and More to a friend?,12f878fa-63c4-40aa-afce-c39d8573154f,9
5. What is your annual household income?,12f878fa-63c4-40aa-afce-c39d8573154f,"80,000 - 100,000"
4. What is your gender?,12f878fa-63c4-40aa-afce-c39d8573154f,male
3. How old are you?,12f878fa-63c4-40aa-afce-c39d8573154f,65+
2. Which Mattresses and More location do you shop at?,12f878fa-63c4-40aa-afce-c39d8573154f,Fruitville
2. Which Mattresses and More location do you shop at?,13a2a036-d28b-4567-a30a-47466a1311ae,Farmingburg
5. What is your annual household income?,13a2a036-d28b-4567-a30a-47466a1311ae,"40,000 - 60,000"
4. What is your gender?,13a2a036-d28b-4567-a30a-47466a1311ae,female
